cfmt_plus,efct_inverted,efct_upright,gfmt,kfmt,one_in_ten,pict
0.8627450980392157,0.6904761904761905,0.9285714285714286,0.9,0.7,0.8,0.75
0.7647058823529411,0.6785714285714286,0.8928571428571429,0.85,0.6,0.7125,0.725
0.7549019607843137,0.8214285714285714,0.9166666666666666,0.925,0.725,0.75,0.825
0.85,0.6547619047619048,0.8690476190476191,0.8,0.45,0.6875,0.65
0.7549019607843137,0.8095238095238095,0.8928571428571429,0.85,0.4,0.625,0.65
0.7156862745098039,0.75,0.8452380952380952,0.8,0.775,0.8375,0.9
0.7058823529411765,0.6785714285714286,0.75,0.825,0.525,0.6875,0.7
0.7254901960784313,0.7380952380952381,0.8333333333333334,0.95,0.775,0.7625,0.875
0.8333333333333334,0.6785714285714286,0.8809523809523809,1.0,0.875,0.825,0.925
0.5980392156862745,0.5357142857142857,0.7261904761904762,0.6666666666666666,0.525,0.2375,0.6
0.6078431372549019,0.5595238095238095,0.7738095238095238,0.8461538461538461,0.575,0.5875,0.65
0.7058823529411765,0.5119047619047619,0.6309523809523809,0.8205128205128205,0.475,0.6125,0.475
0.7549019607843137,0.5952380952380952,0.7857142857142857,0.8717948717948718,0.65,0.6375,0.675
0.5980392156862745,0.7023809523809523,0.8571428571428571,0.9,0.6,0.6375,0.85
0.8333333333333334,0.6666666666666666,0.7738095238095238,0.9743589743589745,0.625,0.6875,0.65
0.7450980392156863,0.6666666666666666,0.8095238095238095,0.9743589743589745,0.8,0.6625,0.525
0.4411764705882353,0.5238095238095238,0.6666666666666666,0.6923076923076923,0.475,0.1875,0.475
0.5490196078431373,0.6785714285714286,0.8095238095238095,0.825,0.6,0.6875,0.725
0.7549019607843137,0.6428571428571429,0.7619047619047619,0.6153846153846154,0.5,0.625,0.575
0.6078431372549019,0.5833333333333334,0.6666666666666666,0.6923076923076923,0.475,0.1875,0.5
0.5784313725490197,0.6071428571428571,0.7857142857142857,0.4615384615384615,0.575,0.6375,0.475
0.6568627450980392,0.5714285714285714,0.7976190476190477,0.8461538461538461,0.525,0.725,0.575
0.7647058823529411,0.7023809523809523,0.8452380952380952,0.825,0.525,0.825,0.725
0.5686274509803921,0.6071428571428571,0.7023809523809523,0.717948718,0.7,0.6,0.625
0.6078431372549019,0.6428571428571429,0.6904761904761905,0.717948718,0.525,0.425,0.3
