face_id,condition,Manipulation,score
55,none,Masculinity,2.8076923076923075
55,none,Symmetry,2.3636363636363638
56,manipulated,Averageness,3.8333333333333335
56,manipulated,Femininity,3.5714285714285716
56,manipulated,Masculinity,3.5555555555555554
56,manipulated,Symmetry,2.909090909090909
56,none,Averageness,3.6956521739130435
56,none,Femininity,3.3
56,none,Masculinity,3.869565217391304
56,none,Symmetry,3.5
58,manipulated,Averageness,3.625
58,manipulated,Femininity,2.3333333333333335
58,manipulated,Masculinity,2.5652173913043477
58,manipulated,Symmetry,2.2857142857142856
58,none,Averageness,3.0588235294117645
58,none,Femininity,2.652173913043478
58,none,Masculinity,2.8518518518518516
58,none,Symmetry,2.642857142857143
63,manipulated,Averageness,3.05
63,manipulated,Femininity,2.0952380952380953
63,manipulated,Masculinity,2.5806451612903225
63,manipulated,Symmetry,2.1923076923076925
63,none,Averageness,2.4285714285714284
63,none,Femininity,2.45
63,none,Masculinity,2.4210526315789473
63,none,Symmetry,2.0625
66,manipulated,Averageness,3.1052631578947367
66,manipulated,Femininity,2.590909090909091
66,manipulated,Masculinity,2.25
66,manipulated,Symmetry,2.7777777777777777
66,none,Averageness,2.3181818181818183
66,none,Femininity,2.1052631578947367
66,none,Masculinity,2.3636363636363638
66,none,Symmetry,2.4166666666666665
70,manipulated,Averageness,2.9375
70,manipulated,Femininity,2.739130434782609
70,manipulated,Masculinity,2.9285714285714284
70,manipulated,Symmetry,2.1
70,none,Averageness,2.28
70,none,Femininity,2.2777777777777777
70,none,Masculinity,2.5
70,none,Symmetry,2.227272727272727
71,manipulated,Averageness,3.9
71,manipulated,Femininity,3.5789473684210527
71,manipulated,Masculinity,3.259259259259259
71,manipulated,Symmetry,3.1363636363636362
71,none,Averageness,2.761904761904762
71,none,Femininity,2.8181818181818183
71,none,Masculinity,3.5217391304347827
71,none,Symmetry,2.7
72,manipulated,Averageness,2.7222222222222223
72,manipulated,Femininity,2.411764705882353
72,manipulated,Masculinity,2.935483870967742
72,manipulated,Symmetry,2.75
72,none,Averageness,3.3043478260869565
72,none,Femininity,2.9583333333333335
72,none,Masculinity,3.3684210526315788
72,none,Symmetry,2.8636363636363638
74,manipulated,Averageness,2.85
74,manipulated,Femininity,2.6315789473684212
74,manipulated,Masculinity,2.230769230769231
74,manipulated,Symmetry,2.380952380952381
74,none,Averageness,2.4761904761904763
74,none,Femininity,2.090909090909091
74,none,Masculinity,2.75
74,none,Symmetry,1.9523809523809523
75,manipulated,Averageness,3.125
75,manipulated,Femininity,2.9285714285714284
75,manipulated,Masculinity,2.7857142857142856
75,manipulated,Symmetry,2.611111111111111
75,none,Averageness,2.411764705882353
75,none,Femininity,2.4444444444444446
75,none,Masculinity,2.9545454545454546
75,none,Symmetry,2.5833333333333335
79,manipulated,Averageness,2.576923076923077
79,manipulated,Femininity,2.5454545454545454
79,manipulated,Masculinity,2.4285714285714284
79,manipulated,Symmetry,2.6923076923076925
79,none,Averageness,2.6
79,none,Femininity,2.0526315789473686
79,none,Masculinity,2.909090909090909
79,none,Symmetry,1.9375
80,manipulated,Averageness,2.8095238095238093
80,manipulated,Femininity,2.2857142857142856
80,manipulated,Masculinity,2.625
80,manipulated,Symmetry,2.5652173913043477
80,none,Averageness,2.75
80,none,Femininity,2.85
80,none,Masculinity,2.923076923076923
80,none,Symmetry,2.1052631578947367
82,manipulated,Averageness,3.5714285714285716
82,manipulated,Femininity,2.9411764705882355
82,manipulated,Masculinity,3.1153846153846154
82,manipulated,Symmetry,2.652173913043478
82,none,Averageness,2.962962962962963
82,none,Femininity,2.7083333333333335
82,none,Masculinity,3.4583333333333335
82,none,Symmetry,2.736842105263158
83,manipulated,Averageness,3.8333333333333335
83,manipulated,Femininity,3.0
83,manipulated,Masculinity,3.130434782608696
83,manipulated,Symmetry,2.8823529411764706
83,none,Averageness,3.235294117647059
83,none,Femininity,3.0833333333333335
83,none,Masculinity,3.8518518518518516
83,none,Symmetry,3.32
84,manipulated,Averageness,3.2777777777777777
84,manipulated,Femininity,2.130434782608696
84,manipulated,Masculinity,2.896551724137931
84,manipulated,Symmetry,2.619047619047619
84,none,Averageness,2.8260869565217392
