PID,PID_Sex,PID_Age,Manipulation,combined_info,score
46,Female,19,Masculinity,101_None,0
47,Female,19,Masculinity,101_None,0
48,Female,20,Masculinity,101_None,7
49,Male,23,Masculinity,101_None,4
50,Female,19,Masculinity,101_None,3
51,Female,19,Masculinity,101_None,0
52,Female,22,Masculinity,101_None,3
53,Female,19,Masculinity,101_None,4
54,Male,19,Masculinity,101_None,3
55,Female,20,Masculinity,101_None,5
56,Female,20,Masculinity,101_None,4
57,Female,19,Masculinity,101_None,0
58,Male,18,Masculinity,101_None,1
59,Male,31,Masculinity,101_None,0
60,Male,19,Masculinity,101_None,0
61,Female,41,Masculinity,101_None,4
62,Female,19,Masculinity,101_None,0
63,Female,24,Masculinity,101_None,0
64,Female,19,Masculinity,101_None,0
65,Female,20,Masculinity,101_None,3
66,Male,21,Masculinity,101_None,3
67,Female,34,Masculinity,101_None,5
68,Male,18,Masculinity,101_None,5
69,Female,19,Masculinity,101_None,4
70,Female,19,Masculinity,101_None,7
71,Female,18,Masculinity,101_None,4
72,Female,18,Masculinity,101_None,4
73,Female,19,Masculinity,101_None,5
74,Female,18,Masculinity,101_None,0
75,Female,20,Masculinity,101_None,0
76,Female,18,Masculinity,101_None,4
77,Female,20,Masculinity,101_None,0
78,Female,19,Masculinity,101_None,2
79,Female,20,Masculinity,101_None,3
80,Female,20,Masculinity,101_None,4
81,Female,18,Masculinity,101_None,0
82,Female,20,Masculinity,101_None,0
83,Female,18,Masculinity,101_None,0
84,Female,19,Masculinity,101_None,4
85,Female,19,Masculinity,101_None,5
86,Male,18,Masculinity,101_None,0
87,Female,18,Masculinity,101_None,0
88,Female,18,Masculinity,101_None,0
89,Female,39,Masculinity,101_None,0
90,Female,18,Masculinity,101_None,4
91,Male,19,Masculinity,101_None,2
92,Female,20,Masculinity,101_None,0
103,Female,18,Symmetry,101_None,0
106,Female,19,Symmetry,101_None,4
106,Male,22,Symmetry,101_None,2
109,Male,20,Symmetry,101_None,1
112,Female,18,Symmetry,101_None,6
115,Female,18,Symmetry,101_None,6
118,Female,19,Symmetry,101_None,0
121,Female,18,Symmetry,101_None,6
124,Female,19,Symmetry,101_None,0
127,Female,19,Symmetry,101_None,0
130,Female,19,Symmetry,101_None,2
133,Female,21,Symmetry,101_None,0
136,Male,20,Symmetry,101_None,0
139,Female,19,Symmetry,101_None,0
142,Female,19,Symmetry,101_None,0
145,Male,18,Symmetry,101_None,0
148,Male,22,Symmetry,101_None,0
151,Male,20,Symmetry,101_None,0
154,Male,21,Symmetry,101_None,0
157,Male,19,Symmetry,101_None,2
160,Male,19,Symmetry,101_None,3
163,Male,21,Symmetry,101_None,0
166,Male,18,Symmetry,101_None,0
169,Male,21,Symmetry,101_None,5
172,Female,19,Symmetry,101_None,4
175,Male,21,Symmetry,101_None,6
178,Male,20,Symmetry,101_None,4
181,Female,22,Symmetry,101_None,0
184,Female,21,Symmetry,101_None,0
187,Female,19,Symmetry,101_None,0
190,Male,19,Symmetry,101_None,4
193,Female,22,Symmetry,101_None,0
196,Female,20,Symmetry,101_None,0
199,Female,19,Symmetry,101_None,4
202,Female,19,Symmetry,101_None,0
205,Female,22,Symmetry,101_None,5
208,Female,18,Symmetry,101_None,2
211,Female,18,Symmetry,101_None,6
214,Female,20,Symmetry,101_None,3
217,Female,19,Symmetry,101_None,2
220,Male,21,Symmetry,101_None,0
275,Male,20,Symmetry,101_None,3
102,Female,19,Averageness,102_Manipulated,5
105,Female,19,Averageness,102_Manipulated,6
108,Male,19,Averageness,102_Manipulated,2
111,Female,19,Averageness,102_Manipulated,3
114,Male,19,Averageness,102_Manipulated,3
117,Female,19,Averageness,102_Manipulated,0
120,Female,19,Averageness,102_Manipulated,4
123,Male,19,Averageness,102_Manipulated,3
126,Male,21,Averageness,102_Manipulated,1
129,Female,19,Averageness,102_Manipulated,0
132,Female,19,Averageness,102_Manipulated,3
135,Female,19,Averageness,102_Manipulated,4
138,Male,19,Averageness,102_Manipulated,0
141,Female,22,Averageness,102_Manipulated,0
144,Male,19,Averageness,102_Manipulated,0
147,Female,19,Averageness,102_Manipulated,0
150,Male,19,Averageness,102_Manipulated,5
153,Male,18,Averageness,102_Manipulated,4
156,Male,18,Averageness,102_Manipulated,2
159,Female,19,Averageness,102_Manipulated,0
162,Female,19,Averageness,102_Manipulated,4
165,Female,18,Averageness,102_Manipulated,5
168,Male,20,Averageness,102_Manipulated,0
171,Male,19,Averageness,102_Manipulated,0
174,Male,21,Averageness,102_Manipulated,0
177,Female,22,Averageness,102_Manipulated,0
180,Female,19,Averageness,102_Manipulated,0
183,Male,20,Averageness,102_Manipulated,0
186,Female,21,Averageness,102_Manipulated,4
189,Female,19,Averageness,102_Manipulated,0
192,Female,20,Averageness,102_Manipulated,3
195,Female,19,Averageness,102_Manipulated,4
198,Female,19,Averageness,102_Manipulated,0
201,Female,20,Averageness,102_Manipulated,4
204,Female,20,Averageness,102_Manipulated,5
207,Female,18,Averageness,102_Manipulated,5
210,Female,19,Averageness,102_Manipulated,0
213,Male,19,Averageness,102_Manipulated,0
216,Female,21,Averageness,102_Manipulated,0
219,Female,18,Averageness,102_Manipulated,2
222,Female,21,Averageness,102_Manipulated,4
101,Female,21,Femininity,102_Manipulated,3
104,Female,18,Femininity,102_Manipulated,0
110,Female,19,Femininity,102_Manipulated,0
113,Female,18,Femininity,102_Manipulated,0
116,Female,18,Femininity,102_Manipulated,0
119,Female,20,Femininity,102_Manipulated,2
122,Female,20,Femininity,102_Manipulated,0
125,Male,19,Femininity,102_Manipulated,0
128,Female,19,Femininity,102_Manipulated,0
131,Female,18,Femininity,102_Manipulated,1
134,Female,18,Femininity,102_Manipulated,3
137,Female,19,Femininity,102_Manipulated,0
140,Female,19,Femininity,102_Manipulated,0
143,Female,18,Femininity,102_Manipulated,0
146,Female,19,Femininity,102_Manipulated,0
149,Female,18,Femininity,102_Manipulated,4
152,Male,19,Femininity,102_Manipulated,1
155,Male,19,Femininity,102_Manipulated,2
158,Male,19,Femininity,102_Manipulated,1
161,Male,19,Femininity,102_Manipulated,4
164,Female,20,Femininity,102_Manipulated,3
167,Male,19,Femininity,102_Manipulated,1
170,Male,19,Femininity,102_Manipulated,0
173,Male,19,Femininity,102_Manipulated,0
176,Female,22,Femininity,102_Manipulated,5
179,Male,20,Femininity,102_Manipulated,0
182,Male,18,Femininity,102_Manipulated,0
185,Female,22,Femininity,102_Manipulated,0
188,Female,21,Femininity,102_Manipulated,2
191,Female,21,Femininity,102_Manipulated,2
194,Male,18,Femininity,102_Manipulated,5
197,Female,21,Femininity,102_Manipulated,0
200,Male,20,Femininity,102_Manipulated,6
203,Female,19,Femininity,102_Manipulated,0
206,Male,20,Femininity,102_Manipulated,1
209,Male,20,Femininity,102_Manipulated,0
212,Male,22,Femininity,102_Manipulated,0
215,Female,20,Femininity,102_Manipulated,0
218,Male,18,Femininity,102_Manipulated,0
221,Male,19,Femininity,102_Manipulated,0
224,Male,20,Femininity,102_Manipulated,0
43,Male,34,Masculinity,102_Manipulated,0
44,Female,19,Masculinity,102_Manipulated,5
45,Male,20,Masculinity,102_Manipulated,0
46,Female,19,Masculinity,102_Manipulated,0
47,Female,19,Masculinity,102_Manipulated,3
48,Female,20,Masculinity,102_Manipulated,1
49,Male,23,Masculinity,102_Manipulated,3
50,Female,19,Masculinity,102_Manipulated,2
51,Female,19,Masculinity,102_Manipulated,4
52,Female,22,Masculinity,102_Manipulated,0
53,Female,19,Masculinity,102_Manipulated,0
54,Male,19,Masculinity,102_Manipulated,0
55,Female,20,Masculinity,102_Manipulated,5
56,Female,20,Masculinity,102_Manipulated,0
57,Female,19,Masculinity,102_Manipulated,5
58,Male,18,Masculinity,102_Manipulated,2
59,Male,31,Masculinity,102_Manipulated,0
60,Male,19,Masculinity,102_Manipulated,4
61,Female,41,Masculinity,102_Manipulated,2
62,Female,19,Masculinity,102_Manipulated,4
63,Female,24,Masculinity,102_Manipulated,0
64,Female,19,Masculinity,102_Manipulated,4
65,Female,20,Masculinity,102_Manipulated,0
66,Male,21,Masculinity,102_Manipulated,4
67,Female,34,Masculinity,102_Manipulated,0
68,Male,18,Masculinity,102_Manipulated,0
69,Female,19,Masculinity,102_Manipulated,0
70,Female,19,Masculinity,102_Manipulated,3
71,Female,18,Masculinity,102_Manipulated,4
