PID,PID_Sex,PID_Age,Manipulation,combined_info,score,face_id,condition
162,Female,19,Averageness,102_Manipulated,4.0,102,Manipulated
165,Female,18,Averageness,102_Manipulated,5.0,102,Manipulated
168,Male,20,Averageness,102_Manipulated,,102,Manipulated
171,Male,19,Averageness,102_Manipulated,,102,Manipulated
174,Male,21,Averageness,102_Manipulated,,102,Manipulated
177,Female,22,Averageness,102_Manipulated,,102,Manipulated
180,Female,19,Averageness,102_Manipulated,,102,Manipulated
183,Male,20,Averageness,102_Manipulated,,102,Manipulated
186,Female,21,Averageness,102_Manipulated,4.0,102,Manipulated
189,Female,19,Averageness,102_Manipulated,,102,Manipulated
192,Female,20,Averageness,102_Manipulated,3.0,102,Manipulated
195,Female,19,Averageness,102_Manipulated,4.0,102,Manipulated
198,Female,19,Averageness,102_Manipulated,,102,Manipulated
201,Female,20,Averageness,102_Manipulated,4.0,102,Manipulated
204,Female,20,Averageness,102_Manipulated,5.0,102,Manipulated
207,Female,18,Averageness,102_Manipulated,5.0,102,Manipulated
210,Female,19,Averageness,102_Manipulated,,102,Manipulated
213,Male,19,Averageness,102_Manipulated,,102,Manipulated
216,Female,21,Averageness,102_Manipulated,,102,Manipulated
219,Female,18,Averageness,102_Manipulated,2.0,102,Manipulated
222,Female,21,Averageness,102_Manipulated,4.0,102,Manipulated
101,Female,21,Femininity,102_Manipulated,3.0,102,Manipulated
104,Female,18,Femininity,102_Manipulated,,102,Manipulated
110,Female,19,Femininity,102_Manipulated,,102,Manipulated
113,Female,18,Femininity,102_Manipulated,,102,Manipulated
116,Female,18,Femininity,102_Manipulated,,102,Manipulated
119,Female,20,Femininity,102_Manipulated,2.0,102,Manipulated
122,Female,20,Femininity,102_Manipulated,,102,Manipulated
125,Male,19,Femininity,102_Manipulated,,102,Manipulated
128,Female,19,Femininity,102_Manipulated,,102,Manipulated
131,Female,18,Femininity,102_Manipulated,1.0,102,Manipulated
134,Female,18,Femininity,102_Manipulated,3.0,102,Manipulated
137,Female,19,Femininity,102_Manipulated,,102,Manipulated
140,Female,19,Femininity,102_Manipulated,,102,Manipulated
143,Female,18,Femininity,102_Manipulated,,102,Manipulated
146,Female,19,Femininity,102_Manipulated,,102,Manipulated
149,Female,18,Femininity,102_Manipulated,4.0,102,Manipulated
152,Male,19,Femininity,102_Manipulated,1.0,102,Manipulated
155,Male,19,Femininity,102_Manipulated,2.0,102,Manipulated
158,Male,19,Femininity,102_Manipulated,1.0,102,Manipulated
161,Male,19,Femininity,102_Manipulated,4.0,102,Manipulated
164,Female,20,Femininity,102_Manipulated,3.0,102,Manipulated
167,Male,19,Femininity,102_Manipulated,1.0,102,Manipulated
170,Male,19,Femininity,102_Manipulated,,102,Manipulated
173,Male,19,Femininity,102_Manipulated,,102,Manipulated
176,Female,22,Femininity,102_Manipulated,5.0,102,Manipulated
179,Male,20,Femininity,102_Manipulated,,102,Manipulated
182,Male,18,Femininity,102_Manipulated,,102,Manipulated
185,Female,22,Femininity,102_Manipulated,,102,Manipulated
188,Female,21,Femininity,102_Manipulated,2.0,102,Manipulated
191,Female,21,Femininity,102_Manipulated,2.0,102,Manipulated
194,Male,18,Femininity,102_Manipulated,5.0,102,Manipulated
197,Female,21,Femininity,102_Manipulated,,102,Manipulated
200,Male,20,Femininity,102_Manipulated,6.0,102,Manipulated
203,Female,19,Femininity,102_Manipulated,,102,Manipulated
206,Male,20,Femininity,102_Manipulated,1.0,102,Manipulated
209,Male,20,Femininity,102_Manipulated,,102,Manipulated
